service_id,name,platform,service_type,category,rate_twd,rate_usd,min,max,refill,cancel,dripfeed
1,Instagram 普通台灣粉絲 (速度:快速),Instagram,Followers/Subscribers,Instagram 粉絲追蹤 (普通/高級系列),600.0,18.75,10,200000,No,No,No
2,Instagram 普通台灣粉絲 (速度:慢速),Instagram,Followers/Subscribers,Instagram 粉絲追蹤 (普通/高級系列),600.0,18.75,10,200000,No,No,No
3,Instagram 普通台灣粉絲 (全女性)(速度:快速),Instagram,Followers/Subscribers,Instagram 粉絲追蹤 (普通/高級系列),800.0,25.0,50,15000,No,No,Yes
8,Instagram 普通台港澳中粉絲 (速度:快速),Instagram,Followers/Subscribers,Instagram 粉絲追蹤 (普通/高級系列),600.0,18.75,10,200000,No,No,Yes
9,Instagram 普通華人粉絲 (速度:快速),Instagram,Followers/Subscribers,Instagram 粉絲追蹤 (普通/高級系列),600.0,18.75,10,200000,No,No,No
10,Instagram 普通全球粉絲 (速度:快速),Instagram,Followers/Subscribers,Instagram 粉絲追蹤 (普通/高級系列),300.0,9.375,10,100000,No,No,Yes
12,Instagram 普通日本粉絲 (速度:快速),Instagram,Followers/Subscribers,Instagram 粉絲追蹤 (普通/高級系列),3000.0,93.75,10,32000,No,No,Yes
13,Instagram 普通韓國粉絲 (速度:快速),Instagram,Followers/Subscribers,Instagram 粉絲追蹤 (普通/高級系列),3000.0,93.75,10,30000,No,No,Yes
4,Instagram 高級台灣粉絲 (速度:快速),Instagram,Followers/Subscribers,Instagram 粉絲追蹤 (普通/高級系列),4500.0,140.625,10,6000,No,No,Yes
6,Instagram 高級台灣粉絲 (速度:慢速),Instagram,Followers/Subscribers,Instagram 粉絲追蹤 (普通/高級系列),4500.0,140.625,10,6000,No,No,Yes
28,Instagram 高級台灣粉絲 (全男性)(速度:快速),Instagram,Followers/Subscribers,Instagram 粉絲追蹤 (普通/高級系列),6000.0,187.5,10,1400,No,No,Yes
29,Instagram 高級台灣粉絲 (全女性)(速度:快速),Instagram,Followers/Subscribers,Instagram 粉絲追蹤 (普通/高級系列),6000.0,187.5,10,4200,No,No,Yes
14,Instagram 頂級台灣粉絲 (速度:快速),Instagram,Followers/Subscribers,Instagram 粉絲追蹤 (頂級/真人系列),6000.0,187.5,10,6100,No,No,Yes
130,Instagram 頂級台灣粉絲 (全男性)(速度:快速),Instagram,Followers/Subscribers,Instagram 粉絲追蹤 (頂級/真人系列),8000.0,250.0,10,2400,No,No,Yes
131,Instagram 頂級台灣粉絲 (全女性)(速度:快速),Instagram,Followers/Subscribers,Instagram 粉絲追蹤 (頂級/真人系列),8000.0,250.0,10,3400,No,No,Yes
16,Instagram 真人台灣粉絲 (純追蹤),Instagram,Followers/Subscribers,Instagram 粉絲追蹤 (頂級/真人系列),8000.0,250.0,10,6100,No,No,Yes
