service_id,name,platform,service_type,category,rate_twd,rate_usd,min,max,refill,cancel,dripfeed,currency
217,Facebook 🥇 [新版FB粉專按讚] 全球高質量粉絲按讚Likes [自然速度] [30天新粉專補粉],Facebook,Followers/Subscribers,Facebook 粉絲專頁加粉絲 Fans服務🙋‍♂️ (全球粉絲、華人粉絲),900.0,28.125,10,500000,No,Yes,No,TWD
116,Facebook 🥇 [新版FB粉專追蹤] 全球高質量粉絲追蹤Followers [自然速度] [30天新粉專補粉],Facebook,Followers/Subscribers,Facebook 粉絲專頁加粉絲 Fans服務🙋‍♂️ (全球粉絲、華人粉絲),900.0,28.125,100,300000,No,No,No,TWD
97,Facebook 🥇全球公開社團成員 [快速穩定] [30天補粉] [✅公開社團專用] [國外男女綜合粉絲],Facebook,Followers/Subscribers,Facebook 臉書社團增加成員人數及貼文按讚服務🙆‍♂️ (FB Group提升社團權重及排名),700.0,21.875,100,500000,No,No,No,TWD
253,Facebook 🥇S5【社團貼文全球帳號按讚】👍Like [穩定快速] [不補讚] [公開社團才能點讚],Facebook,Likes/Reactions,Facebook 臉書社團增加成員人數及貼文按讚服務🙆‍♂️ (FB Group提升社團權重及排名),500.0,15.625,50,300000,No,No,No,TWD
319,Facebook 🥇全球國外男性社團成員👨‍🦰 [自然速度] [30天補粉] [每天可加1000以上的人數] [9成都是男性頭像],Facebook,Likes/Reactions,Facebook 臉書社團增加成員人數及貼文按讚服務🙆‍♂️ (FB Group提升社團權重及排名),800.0,25.0,1000,20000,No,No,No,TWD
100,Facebook 🥇全球高質量個人帳號追蹤 [相當快速] [30天補粉] [大部分都有頭像],Facebook,Followers/Subscribers,Facebook 個人帳號追蹤者服務💁‍♂️ (FB提升個人品牌追蹤數),800.0,25.0,10,500000,No,No,No,TWD
235,Facebook 🥇S3【台港澳中文高品質貼文按讚】👍Like [非常慢速] [粉專適用] [總量多] [不補讚],Facebook,Likes/Reactions,Facebook 台灣/全球貼文按讚服務👍 (FB Like提升貼文讚數及曝光度),1900.0,59.375,1,10000,No,No,No,TWD
548,Facebook 🥇S9【日本帳號高品質貼文按讚】👍Like [非常慢速] [粉專適用]  [不補讚],Facebook,Likes/Reactions,Facebook 台灣/全球貼文按讚服務👍 (FB Like提升貼文讚數及曝光度),2100.0,65.625,10,1000,No,No,No,TWD
549,Facebook 🥇S12【韓國帳號高品質貼文按讚】👍Like [非常慢速] [粉專適用] [不補讚],Facebook,Likes/Reactions,Facebook 台灣/全球貼文按讚服務👍 (FB Like提升貼文讚數及曝光度),2100.0,65.625,10,150,No,No,No,TWD
102,Facebook 🥇全球粉絲貼文按讚👍Like [快速高品質] [不補讚],Facebook,Followers/Subscribers,Facebook 台灣/全球貼文按讚服務👍 (FB Like提升貼文讚數及曝光度),600.0,18.75,30,10000,No,No,No,TWD
103,Facebook 🥇全球粉絲貼文按愛心❤️Love [快速高品質] [不補讚],Facebook,Followers/Subscribers,Facebook 台灣/全球貼文按讚服務👍 (FB Like提升貼文讚數及曝光度),600.0,18.75,50,10000,No,Yes,No,TWD
104,Facebook 🥇全球粉絲貼文按大笑😂Haha [快速高品質] [不補讚],Facebook,Followers/Subscribers,Facebook 台灣/全球貼文按讚服務👍 (FB Like提升貼文讚數及曝光度),600.0,18.75,50,10000,No,Yes,No,TWD
105,Facebook 🥇全球粉絲貼文按憤怒😡Angry [快速高品質] [不補讚],Facebook,Followers/Subscribers,Facebook 台灣/全球貼文按讚服務👍 (FB Like提升貼文讚數及曝光度),600.0,18.75,50,10000,No,Yes,No,TWD
